category,n,low_band_ratio_median,high_band_ratio_median,low_over_high_relative_suppression
apparel,92,0.024649174169428023,0.002804635826563449,8.78872541524613
artwork,92,0.03548010923737786,0.003282110408716012,10.810151036709934
cars,92,0.041530895432314585,0.004621223531814768,8.98699124731698
dishes,92,0.03549368408750726,0.0034590869918403513,10.260997821457917
furniture,92,0.029524000974804825,0.004701770711024643,6.279336613667141
illustrations,92,0.03196267391660225,0.002916477086817585,10.959343401349821
