frequency_cycles_per_pixel,median_pair_fog_to_archive_ratio,q25_pair_fog_to_archive_ratio,q75_pair_fog_to_archive_ratio,mean_fog_power,mean_archive_power,mean_power_fog_to_archive_ratio
0.0026041666666666665,0.1634763716833645,0.05254545311225385,0.41360403219077146,2769176.903096337,15875995.025005005,0.1744254075876711
0.0078125,0.06538084681517332,0.03349151556716223,0.15567349097457703,162619.4511358745,1569519.676223377,0.10361096684507584
0.013020833333333332,0.04864041341331225,0.024856188468132288,0.12205211211275674,37106.99441164259,445067.4611600367,0.0833738649752688
0.018229166666666664,0.042837104279826996,0.02130222817910766,0.10783606084287076,15122.03193715147,209653.46135198584,0.07212870152314436
0.0234375,0.03716971690314065,0.018851185470281372,0.09272652442720657,7169.306200049729,116161.50574880252,0.061718433777479126
0.028645833333333332,0.033672676987534664,0.017122137879478635,0.0858786264722636,3758.312830089686,66275.136681442,0.05670773412591193
0.033854166666666664,0.031603410308490995,0.015547140093639797,0.07978841174525063,2564.8428751054607,49571.536202931806,0.05174023384318214
0.0390625,0.02873289601190275,0.014474017357031351,0.07355905210028806,1687.726640725114,34390.19770280345,0.049075805126515236
0.04427083333333333,0.02676532146381007,0.0133231491443052,0.06891515778963113,1119.1824177257063,23985.965781776576,0.04665988553089695
0.049479166666666664,0.02471603192795518,0.012676095656179642,0.0640296282801801,835.394967376159,19595.871931338297,0.042631171009041485
0.0546875,0.022787377587892815,0.012234133277265918,0.0571907825446422,601.4596436861892,15257.546134841312,0.03942047026243154
0.05989583333333333,0.02171336181000639,0.011239471553307038,0.05385083144205688,416.75035595816246,11369.191123504708,0.036656113124580274
0.06510416666666666,0.019823927111596813,0.010539233406395386,0.050049449359645545,346.7473902074211,10439.600627684313,0.033214622146358466
0.0703125,0.018750919682167667,0.009813074818583362,0.04588313112674731,262.77105579753703,8560.195948775634,0.030696850559258658
0.07552083333333333,0.01733901158428619,0.009234819797415198,0.04396689324167287,190.92504764506964,6416.4626427577505,0.02975549898362868
0.08072916666666666,0.01615762024508708,0.008615904186134404,0.041694845387595755,169.8422496627361,5947.012984306673,0.028559253210128477
0.0859375,0.015288613936005032,0.00785888560875855,0.0388379222956878,134.14436658688325,5186.673586192298,0.025863275249091374
