split,category,stem,fog_path,archive_path,low_band_ratio_0p01_0p05,high_band_ratio_0p15_0p24
test,dishes,image0480,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0480.jpeg,archive_gt_matched/dishes/image0480.jpeg,0.09778204217717265,0.007371026554126505
test,dishes,image0490,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0490.jpeg,archive_gt_matched/dishes/image0490.jpeg,0.21121086621668245,0.01858508347874112
test,dishes,image0500,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0500.jpeg,archive_gt_matched/dishes/image0500.jpeg,0.1008953790266919,0.009130087820689381
test,dishes,image0510,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0510.jpeg,archive_gt_matched/dishes/image0510.jpeg,0.011197284696860564,0.001383980031171621
test,dishes,image0520,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0520.jpeg,archive_gt_matched/dishes/image0520.jpeg,0.012302887929504017,0.0013428133517855764
test,dishes,image0530,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0530.jpeg,archive_gt_matched/dishes/image0530.jpeg,0.017568516121378698,0.002758511116196587
test,dishes,image0540,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0540.jpeg,archive_gt_matched/dishes/image0540.jpeg,0.02426973336832864,0.001579152876890192
test,dishes,image0550,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0550.jpeg,archive_gt_matched/dishes/image0550.jpeg,0.026007092953715272,0.008155641088664163
test,dishes,image0560,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0560.jpeg,archive_gt_matched/dishes/image0560.jpeg,0.015175536808219276,0.0056404913715715705
test,dishes,image0570,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0570.jpeg,archive_gt_matched/dishes/image0570.jpeg,0.011454950838859177,0.0018521267005176848
test,dishes,image0580,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0580.jpeg,archive_gt_matched/dishes/image0580.jpeg,0.0297367626648793,0.0017135086882844727
